[0318/094634:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/094934:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/095100:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/095629:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/100314:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/100414:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/100912:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/101018:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/101136:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/101630:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/101726:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/101857:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/102356:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/102543:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/104836:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/110801:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/111421:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/111612:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/112152:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/112327:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/113548:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/113730:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/113949:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/114235:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/114554:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/114923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/115309:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/115700:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/120420:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/120716:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/121110:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0318/210604:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0319/140659:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/120923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/121047:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/121414:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/121648:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/121830:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/122115:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/131304:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/131646:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/132010:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/132547:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/132723:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/133451:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/133724:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/134043:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/134221:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/134425:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/135458:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/135604:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/135854:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/140626:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/140912:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/141240:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0321/144213:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/143450:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/143648:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/143854:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/144303:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/144418:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/144806:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/145253:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/145610:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/145711:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/150017:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/150119:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/150638:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/171243:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/171340:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/171748:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/172516:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/172701:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/172849:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0323/172958:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/101712:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/102200:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/102301:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/102420:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/102616:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/102846:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/103630:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/103912:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/104138:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/104346:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/105648:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/110633:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/111007:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/111140:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0327/111313:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/103716:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/103820:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/104235:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/110509:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/110708:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/110936:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/111046:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/111424:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/123855:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/124026:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/124631:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/124832:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/125059:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/133627:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/134300:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/134420:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/134542:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/134651:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/134817:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0412/135037:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0413/145528:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0413/151329:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0413/151504:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0413/151705:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0413/154649:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0413/170614:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/140848:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/141838:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/142054:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/151543:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/160158:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/161647:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/161739:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/161814:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/162153:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/162352:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/162401:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/162509:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/162513:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/162717:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/163651:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/163856:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/164143:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/164232:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/164321:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/164923:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/165012:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/165101:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/170840:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/170939:ERROR:file_io.cc(30)] read: expected 4, observed 0
[0416/171036:ERROR:file_io.cc(30)] read: expected 4, observed 0
